timestamp	step	acc
1651061755599	0	0.2699
1651061758070	1	0.4114
1651061759718	2	0.4986
1651061761581	3	0.6694
1651061763239	4	0.5417
1651061765279	5	0.6654
1651061767422	6	0.6675
1651061768917	7	0.6853
1651061771025	8	0.7349
1651061773050	9	0.6904
1651061775036	10	0.7496
1651061776984	11	0.6924
1651061778872	12	0.7571
1651061781261	13	0.7181
1651061782968	14	0.7659
